Date,Primary Type,Count
2010-09-30,BURGLARY,2435
2010-10-31,BURGLARY,2486
2010-11-30,BURGLARY,2415
2010-12-31,BURGLARY,2126
2011-01-31,BURGLARY,1954
2011-02-28,BURGLARY,1427
2011-03-31,BURGLARY,1836
2011-04-30,BURGLARY,2044
2011-05-31,BURGLARY,2468
2011-06-30,BURGLARY,2414
2011-07-31,BURGLARY,2398
2011-08-31,BURGLARY,2613
2011-09-30,BURGLARY,2514
2011-10-31,BURGLARY,2459
2011-11-30,BURGLARY,2293
2011-12-31,BURGLARY,2196
2012-01-31,BURGLARY,1757
2012-02-29,BURGLARY,1396
2012-03-31,BURGLARY,1638
2012-04-30,BURGLARY,1646
2012-05-31,BURGLARY,1924
2012-06-30,BURGLARY,2063
2012-07-31,BURGLARY,2276
2012-08-31,BURGLARY,2219
2012-09-30,BURGLARY,1993
2012-10-31,BURGLARY,2128
2012-11-30,BURGLARY,1992
2012-12-31,BURGLARY,1807
2013-01-31,BURGLARY,1583
2013-02-28,BURGLARY,1171
2013-03-31,BURGLARY,1247
2013-04-30,BURGLARY,1366
2013-05-31,BURGLARY,1563
2013-06-30,BURGLARY,1477
2013-07-31,BURGLARY,1566
2013-08-31,BURGLARY,1770
2013-09-30,BURGLARY,1634
2013-10-31,BURGLARY,1599
2013-11-30,BURGLARY,1476
2013-12-31,BURGLARY,1437
2014-01-31,BURGLARY,1133
2014-02-28,BURGLARY,888
2014-03-31,BURGLARY,1053
2014-04-30,BURGLARY,1124
2014-05-31,BURGLARY,1206
2014-06-30,BURGLARY,1241
2014-07-31,BURGLARY,1394
2014-08-31,BURGLARY,1380
2014-09-30,BURGLARY,1291
2014-10-31,BURGLARY,1351
2014-11-30,BURGLARY,1109
2014-12-31,BURGLARY,516
2014-02-28,CONCEALED CARRY LICENSE VIOLATION,1
2014-03-31,CONCEALED CARRY LICENSE VIOLATION,2
2014-04-30,CONCEALED CARRY LICENSE VIOLATION,2
2014-05-31,CONCEALED CARRY LICENSE VIOLATION,1
2014-06-30,CONCEALED CARRY LICENSE VIOLATION,1
2014-07-31,CONCEALED CARRY LICENSE VIOLATION,2
2014-08-31,CONCEALED CARRY LICENSE VIOLATION,0
2014-09-30,CONCEALED CARRY LICENSE VIOLATION,2
2014-10-31,CONCEALED CARRY LICENSE VIOLATION,3
